x,y,z,w,rho,grad,tau,exchange,reference
6.5573504071368e-05,0.0,-1.5661027211397,6.0963392379481e-15,20.796757539133,41.5756384448,744.89174077424,-9.1279248814045,  -0.596488646907819E+000
-6.5573504071368e-05,0.0,-1.5661027211397,6.0963392379481e-15,20.796757539133,41.5756384448,744.89174077424,-9.1279248814045,  -0.596488646907803E+000
0.0,6.5573504071368e-05,-1.5661027211397,6.0963392379481e-15,20.796757539133,41.5756384448,744.89174077424,-9.1279248814045,  -0.596488646907819E+000
0.0,-6.5573504071368e-05,-1.5661027211397,6.0963392379481e-15,20.796757539133,41.5756384448,744.89174077424,-9.1279248814045,  -0.596488646907803E+000
0.0,0.0,-1.5660371476357,6.0963392379481e-15,20.798529081354,4.590478366533,734.77932357021,-9.1287798231569,  -0.596515946766359E+000
0.0,0.0,-1.5661682946438,6.0963392379481e-15,20.794982701712,58.670274301416,755.00509044694,-9.1270686494379,  -0.596461236262959E+000
3.7858880227311e-05,3.7858880227311e-05,-1.5660648622595,2.5674793778692e-14,20.797780741556,27.239185989592,739.05322020966,-9.1284186396736,  -0.596504422006208E+000
-3.7858880227311e-05,3.7858880227311e-05,-1.5660648622595,2.5674793778692e-14,20.797780741556,27.239185989592,739.05322020966,-9.1284186396736,  -0.596504422006208E+000
3.7858880227311e-05,-3.7858880227311e-05,-1.5660648622595,2.5674793778692e-14,20.797780741556,27.239185989592,739.05322020966,-9.1284186396736,  -0.596504422006208E+000
-3.7858880227311e-05,-3.7858880227311e-05,-1.5660648622595,2.5674793778692e-14,20.797780741556,27.239185989592,739.05322020966,-9.1284186396736,  -0.596504422006208E+000
3.7858880227311e-05,3.7858880227311e-05,-1.56614058002,2.5674793778692e-14,20.795733238311,52.126412583539,750.73057216171,-9.127430693064,  -0.596472834880670E+000
-3.7858880227311e-05,3.7858880227311e-05,-1.56614058002,2.5674793778692e-14,20.795733238311,52.126412583539,750.73057216171,-9.127430693064,  -0.596472834880670E+000
3.7858880227311e-05,-3.7858880227311e-05,-1.56614058002,2.5674793778692e-14,20.795733238311,52.126412583539,750.73057216171,-9.127430693064,  -0.596472834880670E+000
-3.7858880227311e-05,-3.7858880227311e-05,-1.56614058002,2.5674793778692e-14,20.795733238311,52.126412583539,750.73057216171,-9.127430693064,  -0.596472834880670E+000
2.3053285651371e-05,2.3053285651371e-05,-1.566045826707,2.4609522319164e-14,20.798294795655,15.706988407707,736.1177129166,-9.1286667402489,  -0.596512339817765E+000
-2.3053285651371e-05,2.3053285651371e-05,-1.566045826707,2.4609522319164e-14,20.798294795655,15.706988407707,736.1177129166,-9.1286667402489,  -0.596512339817765E+000
2.3053285651371e-05,-2.3053285651371e-05,-1.566045826707,2.4609522319164e-14,20.798294795655,15.706988407707,736.1177129166,-9.1286667402489,  -0.596512339817765E+000
-2.3053285651371e-05,-2.3053285651371e-05,-1.566045826707,2.4609522319164e-14,20.798294795655,15.706988407707,736.1177129166,-9.1286667402489,  -0.596512339817750E+000
2.3053285651371e-05,2.3053285651371e-05,-1.5661596155725,2.4609522319164e-14,20.795217801966,56.701234254628,753.66647059938,-9.1271820512799,  -0.596464870597357E+000
-2.3053285651371e-05,2.3053285651371e-05,-1.5661596155725,2.4609522319164e-14,20.795217801966,56.701234254628,753.66647059938,-9.1271820512799,  -0.596464870597357E+000
2.3053285651371e-05,-2.3053285651371e-05,-1.5661596155725,2.4609522319164e-14,20.795217801966,56.701234254628,753.66647059938,-9.1271820512799,  -0.596464870597357E+000
-2.3053285651371e-05,-2.3053285651371e-05,-1.5661596155725,2.4609522319164e-14,20.795217801966,56.701234254628,753.66647059938,-9.1271820512799,  -0.596464870597357E+000
2.3053285651371e-05,5.6894432746538e-05,-1.5660796678541,2.4609522319164e-14,20.797380725264,33.578926576565,741.33647229645,-9.1282255952401,  -0.596498257184669E+000
-2.3053285651371e-05,5.6894432746538e-05,-1.5660796678541,2.4609522319164e-14,20.797380725264,33.578926576565,741.33647229645,-9.1282255952402,  -0.596498257184712E+000
2.3053285651371e-05,-5.6894432746538e-05,-1.5660796678541,2.4609522319164e-14,20.797380725264,33.578926576565,741.33647229645,-9.1282255952402,  -0.596498257184712E+000
-2.3053285651371e-05,-5.6894432746538e-05,-1.5660796678541,2.4609522319164e-14,20.797380725264,33.578926576565,741.33647229645,-9.1282255952401,  -0.596498257184669E+000
2.3053285651371e-05,5.6894432746538e-05,-1.5661257744254,2.4609522319164e-14,20.796133945725,48.273079224891,748.44712450261,-9.1276240081018,  -0.596479022938048E+000
-2.3053285651371e-05,5.6894432746538e-05,-1.5661257744254,2.4609522319164e-14,20.796133945725,48.273079224891,748.44712450261,-9.1276240081018,  -0.596479022938025E+000
2.3053285651371e-05,-5.6894432746538e-05,-1.5661257744254,2.4609522319164e-14,20.796133945725,48.273079224891,748.44712450261,-9.1276240081018,  -0.596479022938025E+000
-2.3053285651371e-05,-5.6894432746538e-05,-1.5661257744254,2.4609522319164e-14,20.796133945725,48.273079224891,748.44712450261,-9.1276240081018,  -0.596479022938048E+000
5.6894432746538e-05,2.3053285651371e-05,-1.5660796678541,2.4609522319164e-14,20.797380725264,33.578926576565,741.33647229645,-9.1282255952402,  -0.596498257184712E+000
-5.6894432746538e-05,2.3053285651371e-05,-1.5660796678541,2.4609522319164e-14,20.797380725264,33.578926576565,741.33647229645,-9.1282255952401,  -0.596498257184669E+000
5.6894432746538e-05,-2.3053285651371e-05,-1.5660796678541,2.4609522319164e-14,20.797380725264,33.578926576565,741.33647229645,-9.1282255952401,  -0.596498257184684E+000
-5.6894432746538e-05,-2.3053285651371e-05,-1.5660796678541,2.4609522319164e-14,20.797380725264,33.578926576565,741.33647229645,-9.1282255952402,  -0.596498257184712E+000
5.6894432746538e-05,2.3053285651371e-05,-1.5661257744254,2.4609522319164e-14,20.796133945725,48.273079224891,748.44712450261,-9.1276240081018,  -0.596479022938025E+000
